FISCAL YEAR,AGENCY NAME AND NUMBER,COUNTY,EXPENDITURE CATEGORY,AMOUNT,NUMBER,AGENCY NAME
2023,696-TEXAS DEPARTMENT OF CRIMINAL JUSTICE,BELL,SUPPLIES AND MATERIALS,278645,696,TEXAS DEPARTMENT OF CRIMINAL JUSTICE
2023,701-TEXAS EDUCATION AGENCY,BELL,SUPPLIES AND MATERIALS,365.42,701,TEXAS EDUCATION AGENCY
2023,709-TX A&M UNIV SYSTEM HEALTH SCIENCE CENTER,BELL,SUPPLIES AND MATERIALS,179.98,709,TX A&M UNIV SYSTEM HEALTH SCIENCE CENTER
2023,716-TEXAS ENGINEERING EXTENSION SERVICE,BELL,SUPPLIES AND MATERIALS,99.43,716,TEXAS ENGINEERING EXTENSION SERVICE
2023,721-UNIVERSITY OF TEXAS AT AUSTIN,BELL,SUPPLIES AND MATERIALS,8910,721,UNIVERSITY OF TEXAS AT AUSTIN
2023,731-TEXAS WOMAN'S UNIVERSITY,BELL,SUPPLIES AND MATERIALS,2564,731,TEXAS WOMAN'S UNIVERSITY
2023,733-TEXAS TECH UNIVERSITY,BELL,SUPPLIES AND MATERIALS,4687.9,733,TEXAS TECH UNIVERSITY
2023,737-ANGELO STATE UNIVERSITY,BELL,SUPPLIES AND MATERIALS,4594.83,737,ANGELO STATE UNIVERSITY
2023,739-TX TECH UNIVERSITY HEALTH SCIENCES CENTR,BELL,SUPPLIES AND MATERIALS,670.65,739,TX TECH UNIVERSITY HEALTH SCIENCES CENTR
2023,751-TEXAS A&M UNIVERSITY - COMMERCE,BELL,SUPPLIES AND MATERIALS,1899.69,751,TEXAS A&M UNIVERSITY - COMMERCE
2023,755-STEPHEN F AUSTIN STATE UNIVERSITY,BELL,SUPPLIES AND MATERIALS,3962.22,755,STEPHEN F AUSTIN STATE UNIVERSITY
2023,770-TEXAS A&M UNIVERSITY-CENTRAL TEXAS,BELL,SUPPLIES AND MATERIALS,13603.07,770,TEXAS A&M UNIVERSITY-CENTRAL TEXAS
2023,772-TEXAS SCHOOL FOR THE DEAF,BELL,SUPPLIES AND MATERIALS,2159.54,772,TEXAS SCHOOL FOR THE DEAF
2023,802-PARKS & WILDLIFE DEPARTMENT,BELL,SUPPLIES AND MATERIALS,19566.59,802,PARKS & WILDLIFE DEPARTMENT
2023,808-TEXAS HISTORICAL COMMISSION,BELL,SUPPLIES AND MATERIALS,809.98,808,TEXAS HISTORICAL COMMISSION
2023,102-HOUSE OF REPRESENTATIVES,BELL,OTHER EXPENDITURES,4236.19,102,HOUSE OF REPRESENTATIVES
2023,104-LEGISLATIVE BUDGET BOARD,BELL,OTHER EXPENDITURES,8245.1,104,LEGISLATIVE BUDGET BOARD
2023,105-LEGISLATIVE REFERENCE LIBRARY,BELL,OTHER EXPENDITURES,4200,105,LEGISLATIVE REFERENCE LIBRARY
2023,201-SUPREME COURT,BELL,OTHER EXPENDITURES,114.04,201,SUPREME COURT
2023,211-COURT OF CRIMINAL APPEALS,BELL,OTHER EXPENDITURES,98.65,211,COURT OF CRIMINAL APPEALS
2023,212-OFFICE OF COURT ADMINISTRATION,BELL,OTHER EXPENDITURES,12109.23,212,OFFICE OF COURT ADMINISTRATION
2023,241-COMPTROLLER - JUDICIARY SECTION,BELL,OTHER EXPENDITURES,222936.27,241,COMPTROLLER - JUDICIARY SECTION
2023,300-GOVERNOR - FISCAL,BELL,OTHER EXPENDITURES,1800,300,GOVERNOR - FISCAL
2023,302-OFFICE OF THE ATTORNEY GENERAL,BELL,OTHER EXPENDITURES,375300.59,302,OFFICE OF THE ATTORNEY GENERAL
2023,303-TEXAS FACILITIES COMMISSION,BELL,OTHER EXPENDITURES,76.35,303,TEXAS FACILITIES COMMISSION
2023,304-COMPTROLLER OF PUBLIC ACCOUNTS,BELL,OTHER EXPENDITURES,3331.03,304,COMPTROLLER OF PUBLIC ACCOUNTS
2023,305-GENERAL LAND OFFICE,BELL,OTHER EXPENDITURES,33.23,305,GENERAL LAND OFFICE
2023,306-TX STATE LIBRARY AND ARCHIVES COMMISSION,BELL,OTHER EXPENDITURES,21.16,306,TX STATE LIBRARY AND ARCHIVES COMMISSION
2023,307-SECRETARY OF STATE,BELL,OTHER EXPENDITURES,825.51,307,SECRETARY OF STATE
2023,315-TEXAS PREPAID HIGHER ED TUITION BOARD,BELL,OTHER EXPENDITURES,468104.36,315,TEXAS PREPAID HIGHER ED TUITION BOARD
2023,320-TEXAS WORKFORCE COMMISSION,BELL,OTHER EXPENDITURES,378114.97,320,TEXAS WORKFORCE COMMISSION
2023,323-TEACHER RETIREMENT SYSTEM OF TEXAS,BELL,OTHER EXPENDITURES,67120792.4,323,TEACHER RETIREMENT SYSTEM OF TEXAS
2023,327-EMPLOYEES RETIREMENT SYSTEM OF TEXAS,BELL,OTHER EXPENDITURES,4550,327,EMPLOYEES RETIREMENT SYSTEM OF TEXAS
2023,332-TX DEPT OF HOUSING & COMMUNITY AFFAIRS,BELL,OTHER EXPENDITURES,842.79,332,TX DEPT OF HOUSING & COMMUNITY AFFAIRS
2023,356-TEXAS ETHICS COMMISSION,BELL,OTHER EXPENDITURES,0.26,356,TEXAS ETHICS COMMISSION
2023,359-OFFICE OF PUBLIC INSURANCE COUNSEL,BELL,OTHER EXPENDITURES,1040.79,359,OFFICE OF PUBLIC INSURANCE COUNSEL
2023,362-TEXAS LOTTERY COMMISSION,BELL,OTHER EXPENDITURES,3181.99,362,TEXAS LOTTERY COMMISSION
2023,401-TEXAS MILITARY DEPARTMENT,BELL,OTHER EXPENDITURES,12176.97,401,TEXAS MILITARY DEPARTMENT
2023,403-TEXAS VETERANS COMMISSION,BELL,OTHER EXPENDITURES,5379.38,403,TEXAS VETERANS COMMISSION
2023,405-TEXAS DEPARTMENT OF PUBLIC SAFETY,BELL,OTHER EXPENDITURES,9793.03,405,TEXAS DEPARTMENT OF PUBLIC SAFETY
2023,407-TX COMMISSION ON LAW ENFORCEMENT,BELL,OTHER EXPENDITURES,6747.74,407,TX COMMISSION ON LAW ENFORCEMENT
2023,452-TEXAS DEPT OF LICENSING & REGULATION,BELL,OTHER EXPENDITURES,770.68,452,TEXAS DEPT OF LICENSING & REGULATION
2023,454-TEXAS DEPARTMENT OF INSURANCE,BELL,OTHER EXPENDITURES,9943.49,454,TEXAS DEPARTMENT OF INSURANCE
2023,455-RAILROAD COMMISSION OF TEXAS,BELL,OTHER EXPENDITURES,8046.37,455,RAILROAD COMMISSION OF TEXAS
2023,456-TEXAS STATE BOARD OF PLUMBING EXAMINERS,BELL,OTHER EXPENDITURES,225.6,456,TEXAS STATE BOARD OF PLUMBING EXAMINERS
2023,457-TEXAS STATE BOARD OF PUBLIC ACCOUNTANCY,BELL,OTHER EXPENDITURES,31.05,457,TEXAS STATE BOARD OF PUBLIC ACCOUNTANCY
2023,466-OFFICE OF CONSUMER CREDIT COMMISSION,BELL,OTHER EXPENDITURES,357.26,466,OFFICE OF CONSUMER CREDIT COMMISSION
2023,473-PUBLIC UTILITY COMMISSION OF TEXAS,BELL,OTHER EXPENDITURES,142.5,473,PUBLIC UTILITY COMMISSION OF TEXAS
2023,476-TEXAS RACING COMMISSION,BELL,OTHER EXPENDITURES,42.1,476,TEXAS RACING COMMISSION
2023,477-COMM ON STATE EMERGENCY COMMUNICATIONS,BELL,OTHER EXPENDITURES,209.41,477,COMM ON STATE EMERGENCY COMMUNICATIONS
2023,479-STATE OFFICE OF RISK MANAGEMENT,BELL,OTHER EXPENDITURES,0.73,479,STATE OFFICE OF RISK MANAGEMENT
2023,503-TEXAS MEDICAL BOARD,BELL,OTHER EXPENDITURES,430.36,503,TEXAS MEDICAL BOARD
2023,507-TEXAS BOARD OF NURSING,BELL,OTHER EXPENDITURES,350,507,TEXAS BOARD OF NURSING
2023,515-TEXAS STATE BOARD OF PHARMACY,BELL,OTHER EXPENDITURES,330.3,515,TEXAS STATE BOARD OF PHARMACY
2023,529-HEALTH AND HUMAN SERVICES COMMISSION,BELL,OTHER EXPENDITURES,-3013.83,529,HEALTH AND HUMAN SERVICES COMMISSION
2023,530-DEPT OF FAMILY & PROTECTIVE SERVICES,BELL,OTHER EXPENDITURES,4733.95,530,DEPT OF FAMILY & PROTECTIVE SERVICES
2023,533-EXEC CNCL OF PHYSICAL & OCC THERAPY EXAM,BELL,OTHER EXPENDITURES,230.25,533,EXEC CNCL OF PHYSICAL & OCC THERAPY EXAM
2023,537-DEPARTMENT OF STATE HEALTH SERVICES,BELL,OTHER EXPENDITURES,4781.45,537,DEPARTMENT OF STATE HEALTH SERVICES
2023,542-CANCER PREVENTION & RESEARCH INST OF TX,BELL,OTHER EXPENDITURES,81.32,542,CANCER PREVENTION & RESEARCH INST OF TX
2023,551-DEPARTMENT OF AGRICULTURE,BELL,OTHER EXPENDITURES,687.09,551,DEPARTMENT OF AGRICULTURE
2023,554-TEXAS ANIMAL HEALTH COMMISSION,BELL,OTHER EXPENDITURES,496,554,TEXAS ANIMAL HEALTH COMMISSION
2023,555-TEXAS A&M AGRILIFE EXTENSION SERVICE,BELL,OTHER EXPENDITURES,1139.24,555,TEXAS A&M AGRILIFE EXTENSION SERVICE
2023,556-TEXAS A&M AGRILIFE RESEARCH,BELL,OTHER EXPENDITURES,11204.76,556,TEXAS A&M AGRILIFE RESEARCH
2023,575-TEXAS DIVISION OF EMERGENCY MANAGEMENT,BELL,OTHER EXPENDITURES,359301.82,575,TEXAS DIVISION OF EMERGENCY MANAGEMENT
2023,576-TEXAS A&M FOREST SERVICE,BELL,OTHER EXPENDITURES,19562.06,576,TEXAS A&M FOREST SERVICE
2023,580-TEXAS WATER DEVELOPMENT BOARD,BELL,OTHER EXPENDITURES,600000,580,TEXAS WATER DEVELOPMENT BOARD
2023,582-TX COMMISSION ON ENVIRONMENTAL QUALITY,BELL,OTHER EXPENDITURES,537259.64,582,TX COMMISSION ON ENVIRONMENTAL QUALITY
2023,592-STATE SOIL AND WATER CONSERVATION BOARD,BELL,OTHER EXPENDITURES,39163.14,592,STATE SOIL AND WATER CONSERVATION BOARD
2023,601-TEXAS DEPARTMENT OF TRANSPORTATION,BELL,OTHER EXPENDITURES,2225897.48,601,TEXAS DEPARTMENT OF TRANSPORTATION
2023,608-TEXAS DEPARTMENT OF MOTOR VEHICLES,BELL,OTHER EXPENDITURES,5378.93,608,TEXAS DEPARTMENT OF MOTOR VEHICLES
2023,644-TEXAS JUVENILE JUSTICE DEPARTMENT,BELL,OTHER EXPENDITURES,2900.09,644,TEXAS JUVENILE JUSTICE DEPARTMENT
2023,407-TX COMMISSION ON LAW ENFORCEMENT,BELL,TRAVEL,226.43,407,TX COMMISSION ON LAW ENFORCEMENT
2023,696-TEXAS DEPARTMENT OF CRIMINAL JUSTICE,BELL,OTHER EXPENDITURES,2661.91,696,TEXAS DEPARTMENT OF CRIMINAL JUSTICE
2023,701-TEXAS EDUCATION AGENCY,BELL,OTHER EXPENDITURES,3715.81,701,TEXAS EDUCATION AGENCY
2023,709-TX A&M UNIV SYSTEM HEALTH SCIENCE CENTER,BELL,OTHER EXPENDITURES,12259.17,709,TX A&M UNIV SYSTEM HEALTH SCIENCE CENTER
2023,710-TEXAS A&M UNIVERSITY SYSTEM,BELL,OTHER EXPENDITURES,5225,710,TEXAS A&M UNIVERSITY SYSTEM
2023,712-TEXAS A&M ENGINEERING EXPERIMENT STATION,BELL,OTHER EXPENDITURES,96061,712,TEXAS A&M ENGINEERING EXPERIMENT STATION
2023,715-PRAIRIE VIEW A&M UNIVERSITY,BELL,OTHER EXPENDITURES,6064,715,PRAIRIE VIEW A&M UNIVERSITY
2023,716-TEXAS ENGINEERING EXTENSION SERVICE,BELL,OTHER EXPENDITURES,91.13,716,TEXAS ENGINEERING EXTENSION SERVICE
2023,721-UNIVERSITY OF TEXAS AT AUSTIN,BELL,OTHER EXPENDITURES,2640,721,UNIVERSITY OF TEXAS AT AUSTIN
2023,731-TEXAS WOMAN'S UNIVERSITY,BELL,OTHER EXPENDITURES,10250,731,TEXAS WOMAN'S UNIVERSITY
2023,732-TEXAS A&M UNIVERSITY-KINGSVILLE,BELL,OTHER EXPENDITURES,111.3,732,TEXAS A&M UNIVERSITY-KINGSVILLE
2023,733-TEXAS TECH UNIVERSITY,BELL,OTHER EXPENDITURES,1064.29,733,TEXAS TECH UNIVERSITY
2023,737-ANGELO STATE UNIVERSITY,BELL,OTHER EXPENDITURES,700,737,ANGELO STATE UNIVERSITY
2023,739-TX TECH UNIVERSITY HEALTH SCIENCES CENTR,BELL,OTHER EXPENDITURES,30,739,TX TECH UNIVERSITY HEALTH SCIENCES CENTR
2023,745-UT HEALTH SCIENCE CENTER AT SAN ANTONIO,BELL,OTHER EXPENDITURES,5250,745,UT HEALTH SCIENCE CENTER AT SAN ANTONIO
2023,746-UNIVERSITY OF TEXAS RIO GRANDE VALLEY,BELL,OTHER EXPENDITURES,10249,746,UNIVERSITY OF TEXAS RIO GRANDE VALLEY
2023,754-TEXAS STATE UNIVERSITY,BELL,OTHER EXPENDITURES,8800,754,TEXAS STATE UNIVERSITY
2023,755-STEPHEN F AUSTIN STATE UNIVERSITY,BELL,OTHER EXPENDITURES,16482.59,755,STEPHEN F AUSTIN STATE UNIVERSITY
2023,760-TEXAS A&M UNIVERSITY - CORPUS CHRISTI,BELL,OTHER EXPENDITURES,911.5,760,TEXAS A&M UNIVERSITY - CORPUS CHRISTI
2023,770-TEXAS A&M UNIVERSITY-CENTRAL TEXAS,BELL,OTHER EXPENDITURES,182249.87,770,TEXAS A&M UNIVERSITY-CENTRAL TEXAS
2023,772-TEXAS SCHOOL FOR THE DEAF,BELL,OTHER EXPENDITURES,715.51,772,TEXAS SCHOOL FOR THE DEAF
2023,781-TX HIGHER EDUCATION COORDINATING BOARD,BELL,OTHER EXPENDITURES,973967,781,TX HIGHER EDUCATION COORDINATING BOARD
2023,802-PARKS & WILDLIFE DEPARTMENT,BELL,OTHER EXPENDITURES,30847.13,802,PARKS & WILDLIFE DEPARTMENT
2023,808-TEXAS HISTORICAL COMMISSION,BELL,OTHER EXPENDITURES,5755.52,808,TEXAS HISTORICAL COMMISSION
2023,902-COMPTROLLER - STATE FISCAL,BELL,OTHER EXPENDITURES,2210606.88,902,COMPTROLLER - STATE FISCAL
2023,201-SUPREME COURT,BELL,PUBLIC ASSISTANCE PAYMENTS,318.11,201,SUPREME COURT
2023,300-GOVERNOR - FISCAL,BELL,PUBLIC ASSISTANCE PAYMENTS,1517512.88,300,GOVERNOR - FISCAL
2023,302-OFFICE OF THE ATTORNEY GENERAL,BELL,PUBLIC ASSISTANCE PAYMENTS,1694599.53,302,OFFICE OF THE ATTORNEY GENERAL
2023,320-TEXAS WORKFORCE COMMISSION,BELL,PUBLIC ASSISTANCE PAYMENTS,64718244.76,320,TEXAS WORKFORCE COMMISSION
2023,323-TEACHER RETIREMENT SYSTEM OF TEXAS,BELL,PUBLIC ASSISTANCE PAYMENTS,6196089.25,323,TEACHER RETIREMENT SYSTEM OF TEXAS
2023,327-EMPLOYEES RETIREMENT SYSTEM OF TEXAS,BELL,PUBLIC ASSISTANCE PAYMENTS,3146179.32,327,EMPLOYEES RETIREMENT SYSTEM OF TEXAS
2023,332-TX DEPT OF HOUSING & COMMUNITY AFFAIRS,BELL,PUBLIC ASSISTANCE PAYMENTS,1699565.39,332,TX DEPT OF HOUSING & COMMUNITY AFFAIRS
2023,401-TEXAS MILITARY DEPARTMENT,BELL,PUBLIC ASSISTANCE PAYMENTS,6727,401,TEXAS MILITARY DEPARTMENT
2023,403-TEXAS VETERANS COMMISSION,BELL,PUBLIC ASSISTANCE PAYMENTS,1089721.08,403,TEXAS VETERANS COMMISSION
2023,529-HEALTH AND HUMAN SERVICES COMMISSION,BELL,PUBLIC ASSISTANCE PAYMENTS,397754759.27,529,HEALTH AND HUMAN SERVICES COMMISSION
2023,530-DEPT OF FAMILY & PROTECTIVE SERVICES,BELL,PUBLIC ASSISTANCE PAYMENTS,18055927.29,530,DEPT OF FAMILY & PROTECTIVE SERVICES
2023,537-DEPARTMENT OF STATE HEALTH SERVICES,BELL,PUBLIC ASSISTANCE PAYMENTS,994116.77,537,DEPARTMENT OF STATE HEALTH SERVICES
2023,551-DEPARTMENT OF AGRICULTURE,BELL,PUBLIC ASSISTANCE PAYMENTS,1576717.88,551,DEPARTMENT OF AGRICULTURE
2023,701-TEXAS EDUCATION AGENCY,BELL,PUBLIC ASSISTANCE PAYMENTS,2677199.68,701,TEXAS EDUCATION AGENCY
2023,710-TEXAS A&M UNIVERSITY SYSTEM,BELL,PUBLIC ASSISTANCE PAYMENTS,199077.66,710,TEXAS A&M UNIVERSITY SYSTEM
2023,731-TEXAS WOMAN'S UNIVERSITY,BELL,PUBLIC ASSISTANCE PAYMENTS,13000,731,TEXAS WOMAN'S UNIVERSITY
2023,752-UNIVERSITY OF NORTH TEXAS,BELL,PUBLIC ASSISTANCE PAYMENTS,43072.8,752,UNIVERSITY OF NORTH TEXAS
2023,753-SAM HOUSTON STATE UNIVERSITY,BELL,PUBLIC ASSISTANCE PAYMENTS,7723.4,753,SAM HOUSTON STATE UNIVERSITY
2023,770-TEXAS A&M UNIVERSITY-CENTRAL TEXAS,BELL,PUBLIC ASSISTANCE PAYMENTS,500,770,TEXAS A&M UNIVERSITY-CENTRAL TEXAS
2023,772-TEXAS SCHOOL FOR THE DEAF,BELL,PUBLIC ASSISTANCE PAYMENTS,4409.93,772,TEXAS SCHOOL FOR THE DEAF
2023,781-TX HIGHER EDUCATION COORDINATING BOARD,BELL,PUBLIC ASSISTANCE PAYMENTS,760992,781,TX HIGHER EDUCATION COORDINATING BOARD
2023,802-PARKS & WILDLIFE DEPARTMENT,BELL,PUBLIC ASSISTANCE PAYMENTS,385335.54,802,PARKS & WILDLIFE DEPARTMENT
2023,813-TEXAS COMMISSION ON THE ARTS,BELL,PUBLIC ASSISTANCE PAYMENTS,8000,813,TEXAS COMMISSION ON THE ARTS
2023,212-OFFICE OF COURT ADMINISTRATION,BELL,INTERGOVERNMENTAL PAYMENTS,237150.75,212,OFFICE OF COURT ADMINISTRATION
2023,241-COMPTROLLER - JUDICIARY SECTION,BELL,INTERGOVERNMENTAL PAYMENTS,624815.06,241,COMPTROLLER - JUDICIARY SECTION
2023,300-GOVERNOR - FISCAL,BELL,INTERGOVERNMENTAL PAYMENTS,4166703.36,300,GOVERNOR - FISCAL
2023,302-OFFICE OF THE ATTORNEY GENERAL,BELL,INTERGOVERNMENTAL PAYMENTS,41287.67,302,OFFICE OF THE ATTORNEY GENERAL
2023,306-TX STATE LIBRARY AND ARCHIVES COMMISSION,BELL,INTERGOVERNMENTAL PAYMENTS,16423.33,306,TX STATE LIBRARY AND ARCHIVES COMMISSION
2023,307-SECRETARY OF STATE,BELL,INTERGOVERNMENTAL PAYMENTS,31571.09,307,SECRETARY OF STATE
2023,320-TEXAS WORKFORCE COMMISSION,BELL,INTERGOVERNMENTAL PAYMENTS,1623717.43,320,TEXAS WORKFORCE COMMISSION
2023,403-TEXAS VETERANS COMMISSION,BELL,INTERGOVERNMENTAL PAYMENTS,267588.97,403,TEXAS VETERANS COMMISSION
2023,477-COMM ON STATE EMERGENCY COMMUNICATIONS,BELL,INTERGOVERNMENTAL PAYMENTS,3035364.09,477,COMM ON STATE EMERGENCY COMMUNICATIONS
2023,529-HEALTH AND HUMAN SERVICES COMMISSION,BELL,INTERGOVERNMENTAL PAYMENTS,5915871.84,529,HEALTH AND HUMAN SERVICES COMMISSION
2023,537-DEPARTMENT OF STATE HEALTH SERVICES,BELL,INTERGOVERNMENTAL PAYMENTS,966835.25,537,DEPARTMENT OF STATE HEALTH SERVICES
2023,551-DEPARTMENT OF AGRICULTURE,BELL,INTERGOVERNMENTAL PAYMENTS,2250225.79,551,DEPARTMENT OF AGRICULTURE
2023,575-TEXAS DIVISION OF EMERGENCY MANAGEMENT,BELL,INTERGOVERNMENTAL PAYMENTS,10835634.76,575,TEXAS DIVISION OF EMERGENCY MANAGEMENT
2023,576-TEXAS A&M FOREST SERVICE,BELL,INTERGOVERNMENTAL PAYMENTS,135924.95,576,TEXAS A&M FOREST SERVICE
2023,582-TX COMMISSION ON ENVIRONMENTAL QUALITY,BELL,INTERGOVERNMENTAL PAYMENTS,327801.82,582,TX COMMISSION ON ENVIRONMENTAL QUALITY
2023,592-STATE SOIL AND WATER CONSERVATION BOARD,BELL,INTERGOVERNMENTAL PAYMENTS,3324531.28,592,STATE SOIL AND WATER CONSERVATION BOARD
2023,601-TEXAS DEPARTMENT OF TRANSPORTATION,BELL,INTERGOVERNMENTAL PAYMENTS,1134914.24,601,TEXAS DEPARTMENT OF TRANSPORTATION
2023,608-TEXAS DEPARTMENT OF MOTOR VEHICLES,BELL,INTERGOVERNMENTAL PAYMENTS,20000,608,TEXAS DEPARTMENT OF MOTOR VEHICLES
2023,644-TEXAS JUVENILE JUSTICE DEPARTMENT,BELL,INTERGOVERNMENTAL PAYMENTS,2546144.33,644,TEXAS JUVENILE JUSTICE DEPARTMENT
2023,696-TEXAS DEPARTMENT OF CRIMINAL JUSTICE,BELL,INTERGOVERNMENTAL PAYMENTS,2066763,696,TEXAS DEPARTMENT OF CRIMINAL JUSTICE
2023,701-TEXAS EDUCATION AGENCY,BELL,INTERGOVERNMENTAL PAYMENTS,584124598.69,701,TEXAS EDUCATION AGENCY
2023,704-PUBLIC COMMUNITY / JR COLLEGES,BELL,INTERGOVERNMENTAL PAYMENTS,21553110,704,PUBLIC COMMUNITY / JR COLLEGES
2023,781-TX HIGHER EDUCATION COORDINATING BOARD,BELL,INTERGOVERNMENTAL PAYMENTS,8799535.66,781,TX HIGHER EDUCATION COORDINATING BOARD
2023,802-PARKS & WILDLIFE DEPARTMENT,BELL,INTERGOVERNMENTAL PAYMENTS,150302.91,802,PARKS & WILDLIFE DEPARTMENT
2023,902-COMPTROLLER - STATE FISCAL,BELL,INTERGOVERNMENTAL PAYMENTS,9862239.11,902,COMPTROLLER - STATE FISCAL
2023,362-TEXAS LOTTERY COMMISSION,BELL,LOTTERY WINNINGS PAID,6943456.48,362,TEXAS LOTTERY COMMISSION
2023,101-SENATE,BELL,TRAVEL,1108.78,101,SENATE
2023,102-HOUSE OF REPRESENTATIVES,BELL,TRAVEL,82137.81,102,HOUSE OF REPRESENTATIVES
2023,104-LEGISLATIVE BUDGET BOARD,BELL,TRAVEL,1327.81,104,LEGISLATIVE BUDGET BOARD
2023,201-SUPREME COURT,BELL,TRAVEL,181.21,201,SUPREME COURT
2023,212-OFFICE OF COURT ADMINISTRATION,BELL,TRAVEL,2074.02,212,OFFICE OF COURT ADMINISTRATION
2023,300-GOVERNOR - FISCAL,BELL,TRAVEL,663.36,300,GOVERNOR - FISCAL
2023,301-GOVERNOR - EXECUTIVE,BELL,TRAVEL,438.37,301,GOVERNOR - EXECUTIVE
2023,302-OFFICE OF THE ATTORNEY GENERAL,BELL,TRAVEL,29488.82,302,OFFICE OF THE ATTORNEY GENERAL
2023,303-TEXAS FACILITIES COMMISSION,BELL,TRAVEL,1540.31,303,TEXAS FACILITIES COMMISSION
2023,304-COMPTROLLER OF PUBLIC ACCOUNTS,BELL,TRAVEL,35796.05,304,COMPTROLLER OF PUBLIC ACCOUNTS
2023,305-GENERAL LAND OFFICE,BELL,TRAVEL,21533.58,305,GENERAL LAND OFFICE
2023,307-SECRETARY OF STATE,BELL,TRAVEL,6599.57,307,SECRETARY OF STATE
2023,313-DEPARTMENT OF INFORMATION RESOURCES,BELL,TRAVEL,3167.38,313,DEPARTMENT OF INFORMATION RESOURCES
2023,320-TEXAS WORKFORCE COMMISSION,BELL,TRAVEL,56625.47,320,TEXAS WORKFORCE COMMISSION
2023,323-TEACHER RETIREMENT SYSTEM OF TEXAS,BELL,TRAVEL,4048,323,TEACHER RETIREMENT SYSTEM OF TEXAS
2023,329-TEXAS REAL ESTATE COMMISSION,BELL,TRAVEL,3736.91,329,TEXAS REAL ESTATE COMMISSION
2023,332-TX DEPT OF HOUSING & COMMUNITY AFFAIRS,BELL,TRAVEL,665.99,332,TX DEPT OF HOUSING & COMMUNITY AFFAIRS
2023,362-TEXAS LOTTERY COMMISSION,BELL,TRAVEL,7486.5,362,TEXAS LOTTERY COMMISSION
2023,401-TEXAS MILITARY DEPARTMENT,BELL,TRAVEL,69503.1,401,TEXAS MILITARY DEPARTMENT
2023,403-TEXAS VETERANS COMMISSION,BELL,TRAVEL,45386.65,403,TEXAS VETERANS COMMISSION
2023,405-TEXAS DEPARTMENT OF PUBLIC SAFETY,BELL,TRAVEL,260417.54,405,TEXAS DEPARTMENT OF PUBLIC SAFETY
2023,409-COMMISSION ON JAIL STANDARDS,BELL,TRAVEL,10869.99,409,COMMISSION ON JAIL STANDARDS
2023,452-TEXAS DEPT OF LICENSING & REGULATION,BELL,TRAVEL,7770.33,452,TEXAS DEPT OF LICENSING & REGULATION
2023,454-TEXAS DEPARTMENT OF INSURANCE,BELL,TRAVEL,6977.34,454,TEXAS DEPARTMENT OF INSURANCE
2023,455-RAILROAD COMMISSION OF TEXAS,BELL,TRAVEL,4895.96,455,RAILROAD COMMISSION OF TEXAS
2023,458-TEXAS ALCOHOLIC BEVERAGE COMMISSION,BELL,TRAVEL,4154.65,458,TEXAS ALCOHOLIC BEVERAGE COMMISSION
2023,469-CREDIT UNION DEPARTMENT,BELL,TRAVEL,273.87,469,CREDIT UNION DEPARTMENT
2023,473-PUBLIC UTILITY COMMISSION OF TEXAS,BELL,TRAVEL,9474.54,473,PUBLIC UTILITY COMMISSION OF TEXAS
2023,476-TEXAS RACING COMMISSION,BELL,TRAVEL,1086.5,476,TEXAS RACING COMMISSION
2023,507-TEXAS BOARD OF NURSING,BELL,TRAVEL,2780.46,507,TEXAS BOARD OF NURSING
2023,508-TEXAS BOARD OF CHIROPRACTIC EXAMINERS,BELL,TRAVEL,112.86,508,TEXAS BOARD OF CHIROPRACTIC EXAMINERS
2023,529-HEALTH AND HUMAN SERVICES COMMISSION,BELL,TRAVEL,224655.81,529,HEALTH AND HUMAN SERVICES COMMISSION
2023,530-DEPT OF FAMILY & PROTECTIVE SERVICES,BELL,TRAVEL,1681520.3,530,DEPT OF FAMILY & PROTECTIVE SERVICES
2023,537-DEPARTMENT OF STATE HEALTH SERVICES,BELL,TRAVEL,187045.44,537,DEPARTMENT OF STATE HEALTH SERVICES
2023,551-DEPARTMENT OF AGRICULTURE,BELL,TRAVEL,2259.44,551,DEPARTMENT OF AGRICULTURE
2023,554-TEXAS ANIMAL HEALTH COMMISSION,BELL,TRAVEL,782.44,554,TEXAS ANIMAL HEALTH COMMISSION
2023,555-TEXAS A&M AGRILIFE EXTENSION SERVICE,BELL,TRAVEL,7786.3,555,TEXAS A&M AGRILIFE EXTENSION SERVICE
2023,556-TEXAS A&M AGRILIFE RESEARCH,BELL,TRAVEL,11649.8,556,TEXAS A&M AGRILIFE RESEARCH
2023,576-TEXAS A&M FOREST SERVICE,BELL,TRAVEL,24597.38,576,TEXAS A&M FOREST SERVICE
2023,580-TEXAS WATER DEVELOPMENT BOARD,BELL,TRAVEL,1594.13,580,TEXAS WATER DEVELOPMENT BOARD
2023,582-TX COMMISSION ON ENVIRONMENTAL QUALITY,BELL,TRAVEL,14689,582,TX COMMISSION ON ENVIRONMENTAL QUALITY
2023,592-STATE SOIL AND WATER CONSERVATION BOARD,BELL,TRAVEL,16533.63,592,STATE SOIL AND WATER CONSERVATION BOARD
2023,601-TEXAS DEPARTMENT OF TRANSPORTATION,BELL,TRAVEL,47802.34,601,TEXAS DEPARTMENT OF TRANSPORTATION
2023,644-TEXAS JUVENILE JUSTICE DEPARTMENT,BELL,TRAVEL,12111.15,644,TEXAS JUVENILE JUSTICE DEPARTMENT
